"Kontrat","GÖEM","GÝEM","GEEM","TOPLAM"
"GG20190614","2.641","2","84","2.727"
"GG20190615","1.396","275","77","1.748"
"GG20190616","2.859","0","90","2.949"
"GG20190617","8.220","25","0","8.245"
"GG20190618","4.576","20","87","4.683"
"GG20190619","4.331","20","169","4.520"
"GG20190620","5.346","144","39","5.529"
"GG20190621","1.597","0","242","1.839"
"GG20190622","1.280","330","48","1.658"
"GG20190623","3.564","200","122","3.886"
"GG20190624","210","0","101","311"
"GG20190625","1.304","95","96","1.495"
"GG20190626","1.723","0","98","1.821"
"GG20190627","2.390","60","21","2.471"
"GG20190628","5.953","50","82","6.085"
"GG20190629","6.027","0","219","6.246"
"GG20190630","1.132","151","91","1.374"
"GG20190701","2.604","169","53","2.826"
"GG20190702","1.819","12","161","1.992"
"GG20190703","1.975","130","76","2.181"
"GG20190704","6.581","0","150","6.731"
"GG20190705","2.647","0","108","2.755"
"GG20190706","6.533","33","381","6.947"
"GG20190707","1.973","118","268","2.359"
"GG20190708","1.186","532","130","1.848"
"GG20190709","3.285","18","418","3.721"
"GG20190710","5.378","105","85","5.568"
"GG20190711","5.937","0","302","6.239"
"GG20190712","4.121","397","248","4.766"
"GG20190713","2.132","495","445","3.072"
"GG20190714","4.546","15","48","4.609"
"GG20190715","3.089","100","254","3.443"
"GG20190716","7.263","89","251","7.603"
"GG20190717","5.118","300","85","5.503"
"GG20190718","3.659","0","40","3.699"
"GG20190719","4.404","45","104","4.553"
"GG20190720","1.479","109","61","1.649"
"GG20190721","2.310","10","218","2.538"
"GG20190722","2.406","301","74","2.781"
"GG20190723","4.592","18","273","4.883"
"GG20190724","2.100","110","188","2.398"
"GG20190725","2.923","50","242","3.215"
"GG20190726","1.221","313","281","1.815"
"GG20190727","3.085","150","57","3.292"
"GG20190728","2.358","20","124","2.502"
"GG20190729","2.293","280","70","2.643"
"GG20190730","3.656","15","62","3.733"
"GG20190731","5.722","78","12","5.812"
"GG20190801","4.000","140","276","4.416"
"GG20190802","4.272","68","247","4.587"
"GG20190803","1.745","110","170","2.025"
"GG20190804","1.327","2","372","1.701"
"GG20190805","3.177","113","175","3.465"
"GG20190806","4.181","45","287","4.513"
"GG20190807","1.942","155","394","2.491"
"GG20190808","2.015","248","440","2.703"
"GG20190809","4.718","65","190","4.973"
"GG20190810","4.560","60","314","4.934"
"GG20190811","180","80","261","521"
"GG20190812","4.455","7","205","4.667"
"GG20190813","4.033","209","159","4.401"
"GG20190814","1.164","0","461","1.625"
"GG20190815","4.560","30","270","4.860"
"GG20190816","2.637","0","291","2.928"
"GG20190817","2.826","0","265","3.091"
"GG20190818","1.772","450","238","2.460"
"GG20190819","1.886","50","265","2.201"
"GG20190820","19.728","32","328","20.088"
"GG20190821","4.293","428","255","4.976"
"GG20190822","6.435","250","259","6.944"
"GG20190823","3.648","35","128","3.811"
"GG20190824","873","80","170","1.123"
"GG20190825","2.966","25","130","3.121"
"GG20190826","3.589","28","423","4.040"
"GG20190827","2.621","544","178","3.343"
"GG20190828","4.637","75","161","4.873"
"GG20190829","1.304","202","368","1.874"
"GG20190830","1.663","150","220","2.033"
"GG20190831","3.903","60","269","4.232"
"GG20190901","2.538","0","334","2.872"
"GG20190902","3.954","106","384","4.444"
"GG20190903","3.069","390","171","3.630"
"GG20190904","1.088","259","178","1.525"
"GG20190905","2.423","273","95","2.791"
"GG20190906","2.740","125","226","3.091"
"GG20190907","2.556","150","188","2.894"
"GG20190908","2.878","145","118","3.141"
"GG20190909","1.270","45","267","1.582"
"GG20190910","4.975","235","202","5.412"
"GG20190911","1.387","297","342","2.026"
"GG20190912","3.645","155","212","4.012"
"GG20190913","1.321","130","207","1.658"
"GG20190914","1.995","72","113","2.180"
"GG20190915","3.086","11","352","3.449"
"GG20190916","3.775","70","147","3.992"
"GG20190917","6.420","120","146","6.686"
"GG20190918","5.220","0","176","5.396"
"GG20190919","7.139","30","59","7.228"
"GG20190920","5.904","0","83","5.987"
"GG20190921","1.877","30","129","2.036"
"GG20190922","1.340","0","155","1.495"
"GG20190923","1.793","318","101","2.212"
"GG20190924","15.297","0","68","15.365"
"GG20190925","16.171","0","99","16.270"
"GG20190926","11.852","20","110","11.982"
"GG20190927","13.153","40","100","13.293"
"GG20190928","9.666","40","26","9.732"
"GG20190929","1.444","0","96","1.540"
"GG20190930","3.078","82","124","3.284"
"GG20191001","2.919","31","173","3.123"
"GG20191002","1.668","0","118","1.786"
"GG20191003","2.774","55","189","3.018"
"GG20191004","3.490","19","223","3.732"
"GG20191005","2.809","45","149","3.003"
"GG20191006","3.084","15","103","3.202"
"GG20191007","3.521","0","354","3.875"
"GG20191008","902","269","15","1.186"
"GG20191009","2.937","0","112","3.049"
"GG20191010","4.426","0","160","4.586"
"GG20191011","4.366","100","64","4.530"
"GG20191012","2.514","130","42","2.686"
"GG20191013","294","0","97","391"
"GG20191014","200","191","56","447"
"GG20191015","6.839","300","224","7.363"
"GG20191016","5.274","76","179","5.529"
"GG20191017","4.425","171","44","4.640"
"GG20191018","4.654","339","67","5.060"
"GG20191019","5.608","42","94","5.744"
"GG20191020","1.040","0","142","1.182"
"GG20191021","2.245","199","0","2.444"
"GG20191022","3.081","100","180","3.361"
"GG20191023","1.602","11","203","1.816"
"GG20191024","1.526","88","228","1.842"
"GG20191025","2.281","229","96","2.606"
"GG20191026","1.708","150","71","1.929"
"GG20191027","1.280","50","339","1.669"
"GG20191028","1.540","449","139","2.128"
"GG20191029","1.411","475","563","2.449"
"GG20191030","12.240","0","296","12.536"
"GG20191031","1.536","170","457","2.163"
"GG20191101","1.126","0","221","1.347"
"GG20191102","1.610","267","7","1.884"
"GG20191103","503","432","277","1.212"
"GG20191104","2.032","225","224","2.481"
"GG20191105","1.118","220","158","1.496"
"GG20191106","11.906","115","281","12.302"
"GG20191107","2.090","1","249","2.340"
"GG20191108","1.942","410","335","2.687"
"GG20191109","1.605","143","188","1.936"
"GG20191110","2.463","230","208","2.901"
"GG20191111","2.338","321","158","2.817"
"GG20191112","4.011","283","104","4.398"
"GG20191113","4.845","350","413","5.608"
"GG20191114","14.275","0","319","14.594"
"GG20191115","4.043","250","81","4.374"
"GG20191116","1.778","0","179","1.957"
"GG20191117","548","750","237","1.535"
"GG20191118","1.718","538","117","2.373"
"GG20191119","2.620","280","111","3.011"
"GG20191120","4.218","850","396","5.464"
"GG20191121","4.237","295","518","5.050"
"GG20191122","4.863","50","293","5.206"
"GG20191123","3.545","320","615","4.480"
"GG20191124","1.465","225","110","1.800"
"GG20191125","1.871","161","119","2.151"
"GG20191126","4.173","392","319","4.884"
"GG20191127","3.540","562","411","4.513"
"GG20191128","3.422","0","36","3.458"
"GG20191129","4.627","832","142","5.601"
"GG20191130","4.825","5","130","4.960"
"GG20191201","550","285","401","1.236"
